TransactionNumber,Timestamp,AccountNumber,TransactionType,Amount,Currency,Description,TransactionStatus,TransactionMethod,TransactionOrigin,TransactionReferenceNumber,DestinationAccountID,DestinationCustomerName,DestinationBankID,DestinationCountry,TransactionFees,TransactionAuthorizationMethod,TransactionLocation,money_laundering,CustomerName
1000000018,2023-12-16 17:05:00,1000000015,Transfer,500.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007736,1000000005,Sarah Jones,BSB567890,Australia,5.0,Authentication,"Adelaide, Australia",1,
1000000019,2023-12-17 19:30:00,1000000015,Transfer,477.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007737,1000000038,Raymond Thompson,BSB654321,Australia,4.77,Authentication,"Bendigo, Australia",1,
1000000020,2023-12-18 21:15:00,1000000038,Transfer,600.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007738,1000000033,Amanda Wilson,BSB123123,Australia,6.0,Authentication,"Bundaberg, Australia",1,
1000000021,2023-12-19 22:00:00,1000000033,Transfer,97.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007739,1000000017,Barbara White,BSB789012,Australia,0.97,Authentication,"Geraldton, Australia",1,
1000000022,2023-12-23 10:15:00,1000000038,Transfer,965.0,AUD,Fund Transfer,Completed,Online,Mobile Banking,REF1000007495,1000000042,Timothy Moore,BSB234567,Australia,4.83,Authentication,"Sydney, Australia",1,
1000000023,2023-12-24 08:30:00,1000000038,Transfer,1720.0,AUD,Fund Transfer,Completed,Online,Mobile Banking,REF1000007496,1000000046,Matthew Jones,BSB678901,Australia,8.6,Authentication,"Sydney, Australia",1,
1000000024,2023-12-27 09:20:00,1000000038,Transfer,1000.0,AUD,Fund Transfer,Completed,Online,Mobile Banking,REF1000007499,1000000045,Kathleen Davis,BSB567890,Australia,5.0,Authentication,"Sydney, Australia",1,
1000000025,2023-12-27 13:47:40,1000000022,Transfer,1195.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007542,1000000044,Brandon Miller,BSB456789,Australia,11.95,PIN,"Sydney, Australia",1,
1000000026,2023-12-28 09:30:00,1000000024,Transfer,1500.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007543,1000000044,Brandon Miller,BSB456789,Australia,15.0,PIN,"Sydney, Australia",1,
1000000027,2023-12-28 11:00:00,1000000038,Transfer,1550.0,AUD,Fund Transfer,Completed,Online,Mobile Banking,REF1000007500,1000000048,Jason Clark,BSB890123,Australia,7.75,Authentication,"Sydney, Australia",1,
1000000028,2023-12-29 12:00:00,1000000038,Transfer,1259.0,AUD,Fund Transfer,Completed,Online,Mobile Banking,REF1000007501,1000000041,Patricia Brown,BSB123456,Australia,6.3,Authentication,"Sydney, Australia",1,
1000000029,2023-12-30 14:00:00,1000000038,Transfer,1259.0,AUD,Fund Transfer,Completed,Online,Mobile Banking,REF1000007502,1000000044,Brandon Miller,BSB456789,Australia,6.3,Authentication,"Sydney, Australia",1,
1000000030,2024-01-05 08:09:42,1000000013,Transfer,1200.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007784,1000000020,Kevin Walker,BSB012345,Australia,12.0,Authentication,"Sydney, Australia",1,
1000000031,2024-01-05 20:51:36,1000000029,Transfer,1391.67,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007824,1000000002,Michael Smith,BSB234567,Australia,13.92,Authentication,"Melbourne, Australia",1,
1000000032,2024-01-06 09:15:00,1000000022,Transfer,1500.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007785,1000000015,Michelle King,BSB567890,Australia,15.0,Authentication,"Melbourne, Australia",1,
1000000033,2024-01-06 09:15:42,1000000029,Transfer,1391.67,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007825,1000000028,Paul Harris,BSB123463,Australia,13.92,Authentication,"Tamworth, Australia",1,
1000000034,2024-01-06 14:30:55,1000000029,Transfer,1391.66,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007826,1000000026,Brian Scott,BSB123461,Australia,13.92,Authentication,"Hervey Bay, Australia",1,
1000000035,2024-01-07 10:30:00,1000000035,Transfer,800.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007786,1000000025,Amy King,BSB123460,Australia,8.0,Authentication,"Perth, Australia",1,
1000000036,2024-01-08 11:45:00,1000000005,Transfer,952.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007787,1000000010,John Miller,BSB012345,Australia,9.52,Authentication,"Adelaide, Australia",1,
1000000037,2024-01-09 10:05:00,1000000031,Transfer,1391.7,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007833,1000000002,Michael Smith,BSB234567,Australia,13.92,Authentication,"Melbourne, Australia",1,
1000000038,2024-01-09 12:00:00,1000000050,Transfer,1100.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007788,1000000014,Thomas Clark,BSB456789,Australia,11.0,Authentication,"Brisbane, Australia",1,
1000000039,2024-01-09 15:45:20,1000000031,Transfer,1391.7,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007834,1000000028,Paul Harris,BSB123463,Australia,13.92,Authentication,"Tamworth, Australia",1,
1000000040,2024-01-10 08:20:10,1000000031,Transfer,1391.65,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007835,1000000026,Brian Scott,BSB123461,Australia,13.92,Authentication,"Hervey Bay, Australia",1,
1000000041,2024-01-10 13:15:00,1000000043,Transfer,1300.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007789,1000000030,Joshua Anderson,BSB123465,Australia,13.0,Authentication,"Canberra, Australia",1,
1000000042,2024-01-11 14:30:00,1000000010,Transfer,1000.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007790,1000000028,Paul Harris,BSB123463,Australia,10.0,Authentication,"Hobart, Australia",1,
1000000043,2024-01-12 15:45:00,1000000014,Transfer,1000.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007791,1000000013,Elizabeth Moore,BSB345678,Australia,10.0,Authentication,"Darwin, Australia",1,
1000000044,2024-01-15 15:15:00,1000000025,Transfer,815.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007547,1000000044,Brandon Miller,BSB456789,Australia,8.15,PIN,"Sydney, Australia",1,
1000000045,2024-01-17 08:15:24,1000000032,Transfer,600.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000000001,1000000037,Jessica Robinson,BSB123654,Australia,6.0,Authentication,"Sydney, Australia",1,
1000000046,2024-01-17 19:49:27,1000000031,Transfer,1500.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007757,1000000037,Jessica Robinson,BSB123654,Australia,15.0,Authentication,"Melbourne, Australia",1,
1000000047,2024-01-18 09:30:00,1000000005,Transfer,579.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000000002,1000000017,Barbara White,BSB789012,Australia,5.79,Authentication,"Melbourne, Australia",1,
1000000048,2024-01-18 10:30:00,1000000037,Transfer,2000.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007758,1000000002,Michael Smith,BSB234567,Australia,20.0,Authentication,"Sydney, Australia",1,
1000000049,2024-01-18 19:43:58,1000000006,Transfer,1500.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007640,1000000040,Christopher Taylor,BSB321321,Australia,15.0,Authentication,"Melbourne, Australia",1,
1000000050,2024-01-19 08:15:00,1000000002,Transfer,2500.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007759,1000000020,Kevin Walker,BSB012345,Australia,25.0,Authentication,"Brisbane, Australia",1,
1000000051,2024-01-19 08:15:42,1000000011,Transfer,1200.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007641,1000000040,Christopher Taylor,BSB321321,Australia,12.0,Authentication,"Townsville, Australia",1,
1000000052,2024-01-19 09:47:38,1000000036,Transfer,500.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007812,1000000016,Daniel Lewis,BSB678901,Australia,5.0,Authentication,"Melbourne, Australia",1,
1000000053,2024-01-19 10:45:00,1000000036,Transfer,800.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000000003,1000000008,Robert Brown,BSB890123,Australia,8.0,Authentication,"Brisbane, Australia",1,
1000000054,2024-01-20 09:27:33,1000000028,Transfer,1800.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007642,1000000040,Christopher Taylor,BSB321321,Australia,18.0,Authentication,"Tamworth, Australia",1,
1000000055,2024-01-20 11:00:00,1000000037,Transfer,900.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000000004,1000000041,Patricia Brown,BSB123456,Australia,9.0,Authentication,"Perth, Australia",1,
1000000056,2024-01-20 11:30:00,1000000036,Transfer,400.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007813,1000000039,Dorothy White,BSB123123,Australia,4.0,Authentication,"Sydney, Australia",1,
1000000057,2024-01-20 14:42:00,1000000020,Transfer,1200.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007760,1000000017,Barbara White,BSB789012,Australia,12.0,Authentication,"Adelaide, Australia",1,
1000000058,2024-01-21 02:14:07,1000000018,Transfer,1100.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007531,1000000037,Jessica Robinson,BSB123654,Australia,3.0,Authentication,"Sydney, Australia",1,
1000000059,2024-01-21 10:35:00,1000000027,Transfer,1100.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007643,1000000040,Christopher Taylor,BSB321321,Australia,11.0,Authentication,"Port Macquarie, Australia",1,
1000000060,2024-01-21 12:15:00,1000000038,Transfer,1100.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000000005,1000000040,Christopher Taylor,BSB321321,Australia,11.0,Authentication,"Adelaide, Australia",1,
1000000061,2024-01-21 14:15:00,1000000036,Transfer,300.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007814,1000000011,Lisa Davis,BSB123456,Australia,3.0,Authentication,"Brisbane, Australia",1,
1000000062,2024-01-21 16:55:00,1000000017,Transfer,1307.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007761,1000000001,Emily Brown,BSB123456,Australia,13.07,Authentication,"Perth, Australia",1,
1000000063,2024-01-22 04:30:00,1000000018,Transfer,1100.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007532,1000000025,Amy King,BSB123460,Australia,2.5,Authentication,"Sydney, Australia",1,
1000000064,2024-01-22 09:00:00,1000000001,Transfer,1000.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007762,1000000031,Betty Thomas,BSB123456,Australia,10.0,Authentication,"Canberra, Australia",1,
1000000065,2024-01-22 09:00:00,1000000031,Transfer,1000.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007762,1000000001,Emily Brown,BSB123456,Australia,10.0,Authentication,"Canberra, Australia",1,
1000000066,2024-01-22 11:45:00,1000000017,Transfer,1826.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007644,1000000040,Christopher Taylor,BSB321321,Australia,18.26,Authentication,"Launceston, Australia",1,
1000000067,2024-01-22 13:30:00,1000000017,Transfer,1100.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000000006,1000000042,Timothy Moore,BSB234567,Australia,11.0,Authentication,"Canberra, Australia",1,
1000000068,2024-01-22 16:00:00,1000000036,Transfer,467.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007815,1000000043,Laura Anderson,BSB345678,Australia,4.67,Authentication,"Perth, Australia",1,
1000000069,2024-01-23 12:55:00,1000000040,Transfer,826.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007645,1000000037,Jessica Robinson,BSB123654,Australia,8.26,Authentication,"Melbourne, Australia",1,
1000000070,2024-01-23 14:45:00,1000000040,Transfer,100.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000000007,1000000043,Laura Anderson,BSB345678,Australia,1.0,Authentication,"Hobart, Australia",1,
1000000071,2024-01-24 09:00:00,1000000018,Transfer,1100.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007534,1000000045,Kathleen Davis,BSB567890,Australia,2.5,Authentication,"Sydney, Australia",1,
1000000072,2024-01-24 14:05:00,1000000040,Transfer,800.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007646,1000000038,Raymond Thompson,BSB654321,Australia,8.0,Authentication,"Melbourne, Australia",1,
1000000073,2024-01-25 15:15:00,1000000040,Transfer,1000.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007647,1000000039,Dorothy White,BSB123123,Australia,10.0,Authentication,"Melbourne, Australia",1,
1000000074,2024-01-25 16:42:00,1000000023,Transfer,1345.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007546,1000000044,Brandon Miller,BSB456789,Australia,13.45,PIN,"Sydney, Australia",1,
1000000075,2024-01-26 16:25:00,1000000040,Transfer,600.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007648,1000000041,Patricia Brown,BSB123456,Australia,6.0,Authentication,"Melbourne, Australia",1,
1000000076,2024-01-27 04:53:58,1000000001,Transfer,2000.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007727,1000000038,Raymond Thompson,BSB654321,Australia,20.0,Authentication,"Sydney, Australia",1,
1000000077,2024-01-27 10:00:00,1000000045,Transfer,500.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007820,1000000016,Daniel Lewis,BSB678901,Australia,5.0,Authentication,"Melbourne, Australia",1,
1000000078,2024-01-27 17:35:00,1000000040,Transfer,400.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007649,1000000042,Timothy Moore,BSB234567,Australia,4.0,Authentication,"Melbourne, Australia",1,
1000000079,2024-01-28 11:45:00,1000000045,Transfer,400.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007821,1000000039,Dorothy White,BSB123123,Australia,4.0,Authentication,"Sydney, Australia",1,
1000000080,2024-01-28 17:00:00,1000000018,Transfer,1100.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007538,1000000031,Betty Thomas,BSB123456,Australia,3.0,Authentication,"Sydney, Australia",1,
1000000081,2024-01-28 18:45:00,1000000040,Transfer,1000.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007650,1000000043,Laura Anderson,BSB345678,Australia,10.0,Authentication,"Sydney, Australia",1,
1000000082,2024-01-29 08:30:00,1000000038,Transfer,2000.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007728,1000000050,Jeremy Martin,BSB012345,Australia,20.0,Authentication,"Bundaberg, Australia",1,
1000000083,2024-01-29 13:30:00,1000000045,Transfer,300.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007822,1000000011,Lisa Davis,BSB123456,Australia,3.0,Authentication,"Brisbane, Australia",1,
1000000084,2024-01-29 19:15:00,1000000018,Transfer,1100.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007539,1000000032,Gary Martin,BSB654321,Australia,2.5,Authentication,"Sydney, Australia",1,
1000000085,2024-01-29 19:55:00,1000000040,Transfer,1800.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007651,1000000044,Brandon Miller,BSB456789,Australia,18.0,Authentication,"Sydney, Australia",1,
1000000086,2024-01-30 15:15:00,1000000045,Transfer,467.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007823,1000000043,Laura Anderson,BSB345678,Australia,4.67,Authentication,"Perth, Australia",1,
1000000087,2024-01-30 20:05:00,1000000040,Transfer,1826.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007652,1000000045,Kathleen Davis,BSB567890,Australia,18.26,Authentication,"Perth, Australia",1,
1000000088,2024-01-30 21:30:00,1000000018,Transfer,1100.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007540,1000000049,Karen Lewis,BSB901234,Australia,2.5,Authentication,"Sydney, Australia",1,
1000000089,2024-01-31 10:00:00,1000000026,Transfer,1000.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007548,1000000044,Brandon Miller,BSB456789,Australia,10.0,PIN,"Sydney, Australia",1,
1000000090,2024-01-31 21:15:00,1000000040,Transfer,1826.0,AUD,Fund Transfer,Completed,Electronic Transfer,Online Banking,REF1000007653,1000000046,Matthew Jones,BSB678901,Australia,18.26,Authentication,"Canberra, Australia",1,
1000000091,2024-01-31 23:45:00,1000000018,Transfer,53.0,AUD,Fund Transfer,Completed,Online,Mobile App,REF1000007541,1000000050,Jeremy Martin,BSB012345,Australia,0.53,Authentication,"Sydney, Australia",1,
1000000092,2024-02-01 08:30:15,1000000001,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000000001,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000093,2024-02-01 09:15:30,1000000001,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000000021,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000094,2024-02-01 09:15:30,1000000002,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000000121,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000095,2024-02-01 09:15:30,1000000002,Transfer,500.0,AUD,Monthly rent payment,Completed,Online Banking,Online Banking,REF1000000141,1000000013,Jessica Taylor,BSB345678,Australia,0.0,Authentication,Australia,0,
1000000096,2024-02-01 09:15:30,1000000003,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000000241,nil,nil,nil,nil,0.0,Authentication,Brisbane,0,
1000000097,2024-02-01 09:15:30,1000000003,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000000261,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000098,2024-02-01 09:15:30,1000000004,Deposit,1500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000000361,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000099,2024-02-01 09:15:30,1000000005,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000000480,nil,nil,nil,nil,0.0,Authentication,Adelaide,0,
1000000100,2024-02-01 09:15:30,1000000005,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000000500,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000101,2024-02-01 09:15:30,1000000006,Deposit,500.0,AUD,Scholarship Deposit,Completed,Electronic Transfer,Online Banking,REF1000000600,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000102,2024-02-01 09:15:30,1000000006,Deposit,500.0,AUD,Scholarship Deposit,Completed,Electronic Transfer,Online Banking,REF1000000620,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000103,2024-02-01 09:15:30,1000000007,Deposit,500.0,AUD,Income Deposit,Completed,Electronic Transfer,Online Banking,REF1000000720,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000104,2024-02-01 09:15:30,1000000007,Deposit,500.0,AUD,Income Deposit,Completed,Electronic Transfer,Online Banking,REF1000000741,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000105,2024-02-01 09:15:30,1000000008,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000000840,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000106,2024-02-01 09:15:30,1000000008,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000000852,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000107,2024-02-01 09:15:30,1000000008,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000000865,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000108,2024-02-01 09:15:30,1000000009,Deposit,500.0,AUD,Monthly Pension Deposit,Completed,Electronic Transfer,Online Banking,REF1000000972,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000109,2024-02-01 09:15:30,1000000009,Deposit,500.0,AUD,Monthly Pension Deposit,Completed,Electronic Transfer,Online Banking,REF1000000984,nil,nil,nil,nil,0.0,Authentication,Gold Coast,0,
1000000110,2024-02-01 09:15:30,1000000009,Deposit,500.0,AUD,Pension Deposit,Completed,Electronic Transfer,Online Banking,REF1000001035,nil,nil,nil,nil,0.0,Authentication,Gold Coast,0,
1000000111,2024-02-01 09:15:30,1000000009,Deposit,500.0,AUD,Monthly Pension Deposit,Completed,Electronic Transfer,Online Banking,REF1000001056,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000112,2024-02-01 09:15:30,1000000009,Deposit,500.0,AUD,Pension Deposit,Completed,Electronic Transfer,Online Banking,REF1000001065,nil,nil,nil,nil,0.0,Authentication,Gold Coast,0,
1000000113,2024-02-01 09:15:30,1000000009,Deposit,500.0,AUD,Monthly Pension Deposit,Completed,Electronic Transfer,Online Banking,REF1000001077,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000114,2024-02-01 09:15:30,1000000009,Deposit,200.0,AUD,Monthly Pension Deposit,Completed,Electronic Transfer,Online Banking,REF1000001158,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000115,2024-02-01 09:15:30,1000000009,Deposit,100.0,AUD,Monthly Pension Deposit,Completed,Electronic Transfer,Online Banking,REF1000001171,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000116,2024-02-01 09:15:30,1000000010,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000001280,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000117,2024-02-01 09:15:30,1000000010,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000001301,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000118,2024-02-01 09:15:30,1000000010,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000001341,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000119,2024-02-01 09:15:30,1000000010,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000001361,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000120,2024-02-01 09:15:30,1000000011,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000001461,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000121,2024-02-01 09:15:30,1000000011,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000001475,nil,nil,nil,nil,0.0,Authentication,Australia,0,
1000000122,2024-02-01 09:15:30,1000000011,Deposit,500.0,AUD,Salary Deposit,Completed,Electronic Transfer,Online Banking,REF1000001480,nil,nil,nil,nil,0.0,Authentication,Australia,0,
